"IndID","Loc","BLen","BWdth","BVeins","BSpines","SpLen","NodeLen","LLen","LWdth","LTeeth","ASFilLen","ASAnthLen","ASApenLen","PSFilLen","PSAnthLen","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"A3","AlYotm",3.3,0.9,5,4,0.6,0.6,10.5,1.3,5,1.3,0.4,0.5,1.1,0.5,-3.35078935924051,-1.6820444021592,-0.251943019244796,0.101992569652902,-2.31598321464358,1.78994992284353,0.413146961979007,0.434111643074195,-0.0803846471761639,0.690553771961003,-0.846328406612466,-0.272009485418247,-0.23898266481263,-0.152630326177038
"A4","AlYotm",4.9,1,5,4,0.8,0.6,6.5,1,4,1.2,0.5,0.5,1.2,0.5,-1.89495913761981,0.116010145702341,1.0158852664275,0.676916589087209,0.787224082397353,-0.22999756695029,0.188269811735181,0.674312081436308,-0.0840372678894391,-0.737907743701213,-0.577603742095066,0.125317426629532,-0.0798692785758738,0.031771934041163
"A5","AlYotm",4.4,1.1,5,4,0.7,0.5,10,1.2,4,1.28888888888889,0.5,0.5,1.2,0.5,-2.92459297932104,-1.52421656456188,-0.457567783000265,-0.131599685035057,-0.393154284770321,-0.292435643862652,-0.0716055667729125,0.127682918980604,0.00890464077774594,0.089718677616763,-0.293848562936117,0.0481252381314609,-0.218801589731018,-0.0432958117374602
"A6","AlYotm",3.7,0.8,5,4,0.6,0.7,7,0.8,5,1.3,0.5,0.5,1.1,0.5,-2.73634958461488,1.4024839570278,0.427477533714327,0.52553170250319,-3.11167333009975e-05,1.60082790720169,0.00288616607939393,-0.280307616244272,-0.876287005523839,0.448824074269098,-0.248155821582977,0.12297475888182,0.0639302207437374,-0.188781520291811
"A7","AlYotm",5.1,1,5,3,0.6,0.5,9.6,1.2,3,1.3,0.5,0.5,1.2,0.5,-2.1009880292608,-1.74611243577602,-0.639756084143343,0.382876178458865,-0.329761192115677,-1.28330773654064,0.460512073361847,-0.00884308232523754,-0.398775453826527,-0.10137418331939,-0.0605634428632015,1.18137822303063,0.137415115898863,-0.179343331419307
"A8","AlYotm",4.1,1,5,5,0.8,0.5,6.1,0.7,4,1.4,0.6,0.5,1.4,0.6,-3.41250798943465,3.25748976730453,-1.28775656745383,-0.645429504611485,1.40560080580603,-1.74989059966639,0.208099729963148,-0.207564971542801,0.107174994767017,-0.170492913289977,-0.140824689149904,-0.480334577824184,-0.461897776879815,-0.376183724882391
"A9","AlYotm",3.6,1.3,5,5,0.6,0.7,9.1,1,3,1.3,0.6,0.6,1.2,0.6,-3.6628398929241,-0.251924275161677,-2.60435829103477,0.972482142787783,2.20742304272414,-0.664075867525332,0.387296580430337,0.0918331322265816,0.513512979716101,0.916362837053282,-0.660113770240838,-0.359878381953133,0.330321182589287,0.439487657281091
"A10","AlYotm",5.5,1.2,5,4,0.9,0.6,14.3,1,4,1.2,0.5,0.5,1.1,0.5,-2.26288473563661,-2.99209774561823,-0.121506553411078,0.702061723349908,-0.310237963527038,-0.104401707838086,-2.06761286127628,-0.250528144392033,1.68392667364449,1.16177126927976,1.57227101844698,0.285642293198518,-0.249957348754501,0.0220704949486816
"A11","AlYotm",4.4,0.9,5,3,0.8,0.6,6.8,0.7,5,1.4,0.5,0.5,1.4,0.5,-2.29690034931309,2.67374996247287,0.209212733781886,-1.98818601695562,-0.288508068530287,-0.559952690152844,0.435584408155425,0.281816188924671,-0.308623581035327,0.343873512119969,0.518615437510255,0.698090653872627,-0.168759347993501,0.134080933312879
"A12","AlYotm",2.2,0.8,5,4,0.7,0.5,7.9,0.8,5,1.3,0.5,0.5,1.2,0.5,-3.56398934635233,1.66830998897578,-0.0338941920225767,-0.0501681269726146,-0.428937557906254,1.23559573355661,-0.385896646712307,0.672593066013012,-1.22926074148288,1.67370807076778,-0.890084172470164,-0.361315600325282,-0.541219936762853,0.170048274266356
"A13","AlYotm",5.7,1.4,5,4,0.7,0.5,8.3,1.2,4,1.3,0.5,0.6,1.2,0.4,-2.30223800453355,-2.26174615288871,0.457120001784372,-1.22929365544198,1.58178013251469,0.147951388451656,1.5301208119226,0.396016115238455,-0.0918857738124499,-0.537674788850937,0.844616238775326,0.342027715767959,0.53599708287113,0.267441159546154
"A14","AlYotm",5,1.3,5,4,0.7,0.7,7.4,1.2,5,1.3,0.6,0.6,1.2,0.4,-2.23706042100939,-1.34057005801359,0.047185260998584,-2.11199837489136,2.45337103932083,1.04307611232912,0.54607542492344,-0.292936823138712,-0.6991524970476,-0.568105592886498,-0.300003923298989,-0.102826527305404,0.400151420191104,0.29810902208167
"A15","AlYotm",5,1.1,5,4,0.6,0.6,7,1,5,1.2,0.5,0.5,1.1,0.5,-2.3945173335759,-0.11898962865944,1.07169987207577,0.604220122140927,0.602481844203548,1.34249799808102,-0.276430380024594,0.055164187335839,0.0906739792904504,-1.12700429749959,-0.37671061962467,0.466267989389344,0.152819523016095,0.176860455662815
"A16","AlYotm",5,1.2,5,4,0.9,0.5,10.1,1.1,4,1.2,0.5,0.5,1.1,0.4,-2.15552821794863,-2.47973919008424,1.36086646093261,0.237721423272554,0.5110018475111,0.179639798911596,-0.621550041208085,0.127963013323176,-0.381127654890674,0.32618732909479,0.59974116080636,-0.157127090410176,-0.26848558145991,0.23523699987172
"A17","AlYotm",5,1.3,5,5,0.8,0.6,9.3,1,4,1.4,0.5,0.5,1.3,0.5,-3.41724127774322,-0.227946363955193,-0.415092100441451,-1.01429738222986,-0.0284690437137583,-1.21102805730467,0.640348507596317,-0.3828320111696,0.510247534152472,-0.179672662644574,1.10604139583633,-0.691841909512854,0.0484192551923287,-0.079327094324672
"A18","AlYotm",4.8,1.2,5,6,0.7,0.7,7.8,0.8,5,1.2,0.4,0.4,1.2,0.6,-3.83252947483931,1.4011668655285,1.49640411642227,1.70441817711347,-1.36189918283033,0.199825989937298,-0.852377622954586,0.555705549869486,1.8357628173695,-1.44669666018498,0.305900811235425,-1.07138865450098,0.148521869462736,0.0280192502442593
"A19","AlYotm",5,1.2,5,4,0.8,0.6,6.7,0.9,4,1.3,0.5,0.5,1.3,0.5,-2.45896584982053,0.799423680868906,0.61016921351068,-0.388759198042268,0.624214172642609,-1.01168269010058,0.6226710040702,0.377110277055297,0.0613170226059741,-0.621422316861234,0.271889089217752,0.116417044025016,0.0628803172803967,0.395979223524127
